Coding,Value,Meaning
2,1162004,"Manager, bond (warehousing)"
2,1162005,"Manager, cargo"
2,1162006,"Manager, cellar (brewery)"
2,1162007,"Manager, cellar (wine merchants)"
2,1162008,"Manager, consignment"
2,1162009,"Manager, contracts (warehousing)"
2,1162010,"Manager, control, material"
2,1162011,"Manager, control, stock"
2,1162012,"Manager, logistics"
2,1162013,"Manager, materials"
2,1162014,"Manager, operations (warehousing)"
2,1162015,"Manager, operations, depot"
2,1162016,"Manager, packaging"
2,1162017,"Manager, parts"
2,1162018,"Manager, room, stock"
2,1162019,"Manager, spares"
2,1162020,"Manager, stock"
2,1162021,"Manager, store"
2,1162022,"Manager, store, cold"
2,1162023,"Manager, stores"
2,1162024,"Manager, stores, ship's"
2,1162025,"Manager, systems, inventory"
2,1162026,"Manager, terminal"
2,1162027,"Manager, terminals, container"
2,1162028,"Manager, transport and warehouse"
2,1162029,"Manager, warehouse"
2,1162030,"Manager, yard"
2,1163,Retail and wholesale managers
2,1163001,Director (retail trade)
2,1163002,Director (wholesale trade)
2,1163003,"Director, franchise"
2,1163004,"Director, managing (retail trade)"
2,1163005,"Director, managing (wholesale trade)"
2,1163006,Manager (NAAFI: shop)
2,1163007,Manager (builders' merchants)
2,1163008,Manager (charity: retail)
2,1163009,Manager (filling station)
2,1163010,Manager (fuel merchant)
2,1163011,Manager (garden centre)
2,1163012,Manager (livestock dealing)
2,1163013,Manager (mail order establishment)
2,1163014,Manager (off-licence)
2,1163015,Manager (pawnbrokers)
2,1163016,Manager (petrol station)
2,1163017,Manager (retail trade)
2,1163018,Manager (steel stockholders)
2,1163019,Manager (timber merchants)
2,1163020,Manager (trading stamp redemption office)
2,1163021,Manager (wholesale trade)
2,1163022,"Manager, area (retail trade)"
2,1163023,"Manager, baker's"
2,1163024,"Manager, bakery (retail trade)"
2,1163025,"Manager, branch (electricity supplier)"
2,1163026,"Manager, branch (wholesale, retail trade)"
2,1163027,"Manager, butcher's"
2,1163028,"Manager, butchery"
2,1163029,"Manager, centre, garden"
2,1163030,"Manager, check-out"
2,1163031,"Manager, circulation"
2,1163032,"Manager, club, clothing"
2,1163033,"Manager, concession"
2,1163034,"Manager, concessions"
2,1163035,"Manager, dairy"
2,1163036,"Manager, department (retail trade)"
2,1163037,"Manager, depot (wholesale, retail trade)"
2,1163038,"Manager, display"
2,1163039,"Manager, district (retail trade)"
2,1163040,"Manager, district (wholesale trade)"
2,1163041,"Manager, fishmonger's"
2,1163042,"Manager, floor (retail, wholesale trade)"
2,1163043,"Manager, florist"
2,1163044,"Manager, forecourt"
2,1163045,"Manager, order, mail"
2,1163046,"Manager, produce (retail trade)"
2,1163047,"Manager, provisions"
2,1163048,"Manager, retail"
2,1163049,"Manager, room, sales"
2,1163050,"Manager, room, show"
2,1163051,"Manager, sales (retail trade)"
2,1163052,"Manager, sales, fleet"
2,1163053,"Manager, service (retail trade)"
2,1163054,"Manager, shop (agriculture)"
2,1163055,"Manager, shop (charitable organisation)"
2,1163056,"Manager, shop (horticulture)"
2,1163057,"Manager, shop (retail, wholesale trade)"
2,1163058,"Manager, shop, butcher's"
2,1163059,"Manager, shop, charity"
2,1163060,"Manager, shop, farm"
2,1163061,"Manager, shop, fishmonger's"
2,1163062,"Manager, showroom"
2,1163063,"Manager, stall, book"
2,1163064,"Manager, station, petrol"
2,1163065,"Manager, station, service"
2,1163066,"Manager, store (retail trade)"
2,1163067,"Manager, stores (retail trade)"
2,1163068,"Manager, tailor's"
2,1163069,"Manager, trade"
2,1163070,"Manager, wholesale"
2,1163071,"Secretary, managing (co-operative society)"
2,1163072,Wholesaler
2,117,Protective Service Officers
2,1171,Officers in armed forces
2,1171001,Adjutant
2,1171002,Adjutant-General
2,1171003,Admiral
2,1171004,Admiral of the Fleet
2,1171005,Aide-de-Camp
2,1171006,Air-Marshal
2,1171007,Brigadier
2,1171008,"Cadet, officer"
2,1171009,Captain (armed forces)
2,1171010,"Captain, ship's (armed forces)"
2,1171011,Chaplain (armed forces)
2,1171012,Colonel
2,1171013,Colonel-Commandant
2,1171014,Commandant (armed forces)
2,1171015,Commander (armed forces)
2,1171016,Commodore (armed forces)
2,1171017,Director (WRNS)
2,1171018,Field-Marshal
2,1171019,Flight-Lieutenant
2,1171020,General
2,1171021,"Leader, Squadron"
2,1171022,Lieutenant
2,1171023,Lieutenant-Colonel
2,1171024,Lieutenant-Commander
2,1171025,Lieutenant-General
2,1171026,Major (armed forces)
2,1171027,Major-General
2,1171028,Marshal of the RAF
2,1171029,Marshal of the Royal Air Force
2,1171030,"Marshal, air"
2,1171031,"Marshal, field"
2,1171032,Midshipman (armed forces)
2,1171033,Officer (WRNS)
2,1171034,Officer (armed forces)
2,1171035,"Officer, commanding"
2,1171036,"Officer, commissioned"
2,1171037,"Officer, disposal, bomb"
2,1171038,"Officer, flag"
2,1171039,"Officer, flying"
2,1171040,"Officer, medical (armed forces)"
2,1171041,"Officer, pilot (armed forces)"
2,1171042,"Officer, staff, general"
2,1171043,Quartermaster-General
2,1171044,Squadron-Leader
2,1171045,Sub-Lieutenant
2,1171046,Superintendent (WRNS)
2,1172,Police officers (inspectors and above)
2,1172001,Commander (police service)
2,1172002,Commissioner (police service)
2,1172003,"Constable, chief"
2,1172004,"Constable, chief, assistant"
2,1172005,"Constable, chief, deputy"
2,1172006,Inspector (police service)
2,1172007,"Inspector, chief (police service)"
2,1172008,"Inspector, detective"
2,1172009,"Inspector, divisional (police service)"
2,1172010,"Inspector, police"
2,1172011,"Officer, CID"
2,1172012,Sub-inspector (MOD)
2,1172013,Superintendent (police service)
2,1172014,"Superintendent, chief (police service)"
2,1173,"Senior officers in fire, ambulance, prison and related services"
2,1173001,"Captain, fire"
2,1173002,Commandant (fire service)
2,1173003,Commander (ambulance service)
2,1173004,Commander (fire service)
2,1173005,Controller (fire service)
2,1173006,Controller (prison service)
2,1173007,"Controller, area (fire service)"
2,1173008,"Controller, senior (fire service)"
2,1173009,Firemaster (Scotland)
2,1173010,Governor (prison service)
2,1173011,"Inspector, fire (fire service)"
2,1173012,"Inspector, senior (Customs and Excise)"
2,1173013,"Manager, shift (Immigration Reception Centre)"
2,1173014,"Manager, station (ambulance)"
2,1173015,"Officer, ambulance, chief"
2,1173016,"Officer, brigade, fire"
2,1173017,"Officer, chief (fire service)"
2,1173018,"Officer, chief (prison service)"
2,1173019,"Officer, company (fire service)"
2,1173020,"Officer, control, fire, principal (fire service)"
2,1173021,"Officer, corps, salvage"
2,1173022,"Officer, district (salvage corps)"
2,1173023,"Officer, divisional (fire service)"
2,1173024,"Officer, fire"
2,1173025,"Officer, fire, chief"
2,1173026,"Officer, fire, divisional"
2,1173027,"Officer, first (fire service)"
2,1173028,"Officer, fraud, chief (Customs and Excise)"
2,1173029,"Officer, immigration, chief"
2,1173030,"Officer, investigating, chief (Customs and Excise)"
2,1173031,"Officer, investigating, fraud, chief (Customs and Excise)"
2,1173032,"Officer, investigation, chief (Customs and Excise)"
2,1173033,"Officer, investigation, fraud, chief (Customs and Excise)"
2,1173034,"Officer, preventive, chief"
2,1173035,"Officer, principal (prison service)"
2,1173036,"Officer, prison, chief"
2,1173037,"Officer, protection, fire"
2,1173038,"Officer, salvage (salvage corps)"
2,1173039,"Officer, salvage, fire"
2,1173040,"Officer, second (fire service)"
2,1173041,"Officer, senior (Customs and Excise)"
2,1173042,"Officer, service, fire (government)"
2,1173043,"Officer, station (ambulance service)"
2,1173044,"Officer, station (fire service)"
2,1173045,"Officer, station (salvage corps)"
2,1173046,"Officer, third (fire service)"
2,1173047,Superintendent (Customs and Excise)
2,1173048,Superintendent (ambulance service)
2,1173049,Superintendent (prison service)
2,1173050,Superintendent (salvage corps)
2,1173051,"Superintendent, fire"
2,1173052,Surveyor (Customs and Excise)
2,1173053,Surveyor of Customs and Excise
2,1173054,"Warder, chief"
2,1174,Security managers
2,1174001,Head of security
2,1174002,Manager (private detective agency)
2,1174003,Manager (security services)
2,1174004,"Manager, branch (security services)"
2,1174005,"Manager, cctv"
2,1174006,"Manager, investigations"
2,1174007,"Manager, operations (security services)"
2,1174008,"Manager, operations, cctv"
2,1174009,"Manager, prevention, loss"
2,1174010,"Manager, security"
2,1174011,Owner (detective agency)
2,1174012,Owner (security services)
2,1174013,"Owner, agency, detective"
2,118,Health And Social Services Managers
2,1181,Hospital and health service managers
2,1181001,Chairman (health authority)
2,1181002,Commissioner (health authority)
2,1181003,Director of clinical services
2,1181004,Director of nursing services
2,1181005,"Director, non-executive (health authority: hospital service)"
2,1181006,"Director, operations (health authority)"
2,1181007,"Executive, chief (health authority: hospital service)"
2,1181008,Manager (health authority)
2,1181009,Manager (hospital service)
2,1181010,Manager (nursing services)
2,1181011,"Manager, care (health authority: hospital service)"
2,1181012,"Manager, care, health"
2,1181013,"Manager, clinical"
2,1181014,"Manager, district (health authority: hospital service)"
2,1181015,"Manager, general, unit (health authority: hospital service)"
2,1181016,"Manager, healthcare"
2,1181017,"Manager, immunisation"
2,1181018,"Manager, information (health authority: hospital service)"
2,1181019,"Manager, locality (health authority: hospital service)"
2,1181020,"Manager, nurse"
2,1181021,"Manager, prosthetic, senior"
2,1181022,"Manager, screening, health (health authority: hospital service)"
2,1181023,"Manager, service, health"
2,1181024,"Manager, service, hospital"
2,1181025,"Manager, services, clinical"
2,1181026,"Manager, services, hospital, area"
2,1181027,"Manager, services, limb"
2,1181028,"Manager, support (radiology)"
2,1181029,"Manager, vaccination"
2,1181030,"Manager, ward"
2,1181031,Superintendent (hospital service)
2,1182,Pharmacy managers
2,1182001,Manager (hospital pharmacists)
2,1182002,Manager (retail trade: pharmacists)
2,1182003,"Manager, dispensary"
2,1182004,"Manager, pharmacist's"
2,1182005,"Manager, pharmacy"
2,1182006,"Manager, shop (retail trade: pharmacists)"
2,1182007,"Officer, pharmaceutical (health authority)"
2,1182008,Owner (pharmacists)
2,1183,Healthcare practice managers
2,1183001,Manager (medical practice)
2,1183002,"Manager, clinic"
2,1183003,"Manager, fundholding (medical practice)"
2,1183004,"Manager, holding, fund (medical practice)"
2,1183005,"Manager, practice (dental practice)"
2,1183006,"Manager, practice (health services)"
2,1183007,"Manager, practice (medical practice)"
2,1183008,Owner (chiropody practice)
2,1184,Social services managers
2,1184001,Director of social services
2,1184002,Manager (social services)
2,1184003,Manager (welfare services)
2,1184004,"Manager, care (social services)"
2,1184005,"Manager, care, community"
2,1184006,"Manager, project (social services)"
2,1184007,"Manager, resource, community"
2,1184008,"Manager, sector (health authority: hospital service)"
2,1184009,"Manager, services, community"
2,1184010,"Manager, services, social"
2,1184011,"Manager, support (social services: non-residential)"
2,1184012,"Manager, team (community care)"
2,1184013,"Manager, team (social services)"
2,1184014,"Manager, unit (social services: non-residential)"
2,1184015,"Manager, work, social"
2,1184016,"Secretary, managing (welfare services)"
2,1185,Residential and day care managers
2,1185001,Manager (children's home)
2,1185002,Manager (nursing home)
2,1185003,Manager (old people's home)
2,1185004,Manager (residential home)
2,1185005,Manager (sheltered housing)
2,1185006,Manager of residential home
2,1185007,"Manager, care"
2,1185008,"Manager, care (residential home)"
2,1185009,"Manager, care, home"
2,1185010,"Manager, care, residential"
2,1185011,"Manager, centre, community"
2,1185012,"Manager, centre, day"
2,1185013,"Manager, home (welfare services)"
2,1185014,"Manager, house (social services)"
2,1185015,"Manager, project (social services: residential)"
2,1185016,"Manager, residential (residential home)"
2,1185017,"Manager, service, care"
2,1185018,"Manager, support (social services: residential)"
2,1185019,"Manager, unit (social services: residential)"
2,1185020,"Manager, unit, rehabilitation"
2,1185021,"Officer, principal (children's home)"
2,1185022,"Officer, principal (old people's home)"
2,1185023,Officer-in-charge (social services)
2,1185024,Owner (convalescent home)
2,1185025,Owner (nursing home)
2,1185026,Owner (old people's home)
2,1185027,Owner (residential home)
2,1185028,Owner (rest home)
2,1185029,Owner (retirement home)
2,1185030,"Owner, home, convalescent"
2,1185031,"Owner, home, nursing"
2,1185032,"Owner, home, residential"
2,1185033,"Owner, home, rest"
2,1185034,"Owner, home, retirement"
2,12,Managers And Proprietors In Agriculture And Services
2,121,"Managers In Farming, Horticulture, Forestry And Fishing"
2,1211,Farm managers
2,1211001,Manager (agricultural contracting)
2,1211002,Manager (agriculture)
2,1211003,Manager (fruit growing)
2,1211004,Manager (horticulture)
2,1211005,Manager (market gardening)
2,1211006,"Manager, farm"
2,1211007,"Manager, livestock"
2,1211008,"Manager, piggery"
2,1211009,"Manager, stock, farm"
2,1211010,"Manager, stock, live"
2,1211011,Owner (farm)
2,1211012,Owner (horticulture)
2,1211013,"Owner, farm"
2,1211014,Viticulturist
2,1212,Natural environment and conservation managers
2,1212001,Manager (environmental agency)
2,1212002,Manager (environmental consultancy)
2,1212003,"Manager, conservation"
2,1212004,"Manager, countryside"
2,1212005,"Manager, environmental"
2,1212006,"Manager, heritage"
2,1212007,"Manager, park, national"
2,1212008,"Manager, safety and environmental, health"
2,1212009,"Manager, warning, flood"
2,1219,"Managers in animal husbandry, forestry and fishing n.e.c."
2,1219001,Manager (clam cultivation)
2,1219002,Manager (fish hatchery)
2,1219003,Manager (fishing company)
2,1219004,Manager (forestry)
2,1219005,"Manager (gardening, grounds keeping services)"
